Axis 1,Axis 2,Centuries,Numbers
George Washington ,1789-1797,1700s,1-10
John Adams ,1797-1801,1800s,1-10
Thomas Jefferson,1801-1809,1800s,1-10
James Madison ,1809-1812,1800s,1-10
James Monroe ,1817-1825,1800s,1-10
John Quincy Adams ,1825-1829,1800s,1-10
Andrew Jackson ,1829-1837,1800s,1-10
Martin Van Buren ,1837-1841,1800s,1-10
William Henry Harrison ,1841-1841,1800s,1-10
John Tyler ,1841-1845,1800s,1-10
James K. Polk ,1845-1849,1800s,10-20
Zachary Taylor ,1849-1850,1800s,10-20
Millard Fillmore ,1850-1853,1800s,10-20
Franklin Pierce ,1853-1857,1800s,10-20
James Buchanan ,1857-1861,1800s,10-20
Abraham Lincoln ,1861-1865,1800s,10-20
Andrew Johnson ,1865-1869,1800s,10-20
Ulysses S. Grant ,1869-1877,1800s,10-20
Rutherford Birchard Hayes ,1877-1881,1800s,10-20
James A. Garfield ,1881-1881,1800s,10-20
Chester A. Arthur ,1881-1885,1800s,20-30
Grover Cleveland ,1885-1889,1800s,20-30
Benjamin Harrison ,1889-1893,1800s,20-30
Grover Cleveland ,1893-1897,1800s,20-30
William McKinley ,1897-1901,1800s,20-30
Theodore Roosevelt ,1901-1905,1900s,20-30
William H. Taft ,1909-1913,1900s,20-30
Woodrow Wilson ,1913-1921,1900s,20-30
Warren G. Harding ,1921-1923,1900s,20-30
Calvin Coolidge ,1923-1929,1900s,20-30
Herbert Hoover ,1929-1933,1900s,30-40
Franklin D. Roosevelt ,1933-1945,1900s,30-40
Harry S. Truman ,1945-1953,1900s,30-40
Dwight D. Eisenhower ,1953-1961,1900s,30-40
John F. Kennedy ,1961-1963,1900s,30-40
Lyndon B. Johnson ,1963-1969,1900s,30-40
Richard M. Nixon ,1969-1974,1900s,30-40
Gerald R. Ford ,1974-1977,1900s,30-40
Jimmy Carter ,1977-1981,1900s,30-40
Ronald Reagan ,1981-1989,1900s,30-40
George Bush ,1989-1993,1900s,40-50
Bill Clinton ,1993-2001,1900s,40-50
George W. Bush ,2001-2009,2000s,40-50
Barack Obama ,2009-2017,2000s,40-50
Donald J. Trump ,2017-2021,2000s,40-50
Joe Biden,2021-Present,2000s,40â€“50
