Axis 1,Axis 2,Controlled by ,Physical Region
American Samoa,American Samoa,US,Oceania
Anguilla,Anguilla,UK,Carribbean
Aruba,Aruba,Netherlands,North America
Bermuda,Bermuda,UK,North America
Bouvet Island,Bouvet Island,,Afro Europe
British Indian Ocean Territory,British Indian Ocean Territory,UK,Afro Europe
British Virgin Islands,British Virgin Islands,UK,Carribbean
Cayman Islands,Cayman Islands,UK,North America
Christmas Island,Christmas Island,Australia,Australia
Cocos Islands,Cocos Islands,,Australia
Cook Islands,Cook Islands,New Zealand,Oceania
Falkland Islands,Falkland Islands,UK,North America
French Guiana,French Guiana,France,North America
French Polynesia,French Polynesia,France,Oceania
French Southern Territories,French Southern Territories,,Afro Europe
Gaza Strip,Gaza Strip,,Afro Europe
Gibraltar,Gibraltar,UK,Afro Europe
Guadeloupe,Guadeloupe,France,Carribbean
Guam,Guam,US,Oceania
Guernsey,Guernsey,UK,Afro Europe
Heard and McDonald Islands,Heard and McDonald Islands,,Afro Europe
Hong Kong,Hong Kong,China,Australia
Isle of Man,Isle of Man,UK,Afro Europe
Jersey,Jersey,UK,Afro Europe
Macau,Macau,China,Australia
Martinique,Martinique,,Carribbean
Mayotte,Mayotte,France,Afro Europe
Montserrat,Montserrat,UK,Carribbean
Netherlands Antilles,Netherlands Antilles,Netherlands,North America
New Caledonia,New Caledonia,,Oceania
Niue,Niue,New Zealand,Oceania
Norfolk Island,Norfolk Island,Australia,Australia
Northern Mariana Islands,Northern Mariana Islands,US,Oceania
Pitcairn Islands,Pitcairn Islands,UK,Oceania
Puerto Rico,Puerto Rico,US,Carribbean
Reunion,Reunion,,Afro Europe
St Helena,St Helena,UK,Afro Europe
St Pierre and Miquelon,St Pierre and Miquelon,France,North America
South Georgia and South Sandwich Islands,South Georgia and South Sandwich Islands,UK,North America
Svalbard and Jan Mayen,Svalbard and Jan Mayen,,Afro Europe
Tokelau,Tokelau,,Oceania
Turks and Caicos Islands,Turks and Caicos Islands,UK,Australia
US Virgin Islands,US Virgin Islands,US,Carribbean
Wallis and Futuna,Wallis and Futuna,France,Australia
Western Sahara,Western Sahara,,Afro Europe
Faroe Islands,Faroe Islands,,Afro Europe
Greenland,Greenland,,North America
St. Barts,St. Barts,,Carribbean
St. Eustatius,St. Eustatius,,Carribbean
St. Martin,St. Martin,,Carribbean