Axis 1,Axis 2,Capital,Currency,Continents
Afghanistan,Afghani,Kabul,AFN,Asia
Albania,Lek,Tirana,ALL,Europe
Algeria,Dinar,Algiers,DZD,Africa
Andorra,Euro,Andorra la Vella,EUR,Europe
Angola,Kwanza,Luanda,AOA,Africa
Antigua and Barbuda,Dollar,St. John's,XCD,North America
Argentina,Peso,Buenos Aires,ARS,South America
Armenia,Dram,Yerevan,AMD,Asia
Australia,Dollar,Canberra,AUD,Oceania
Austria,Euro,Vienna,EUR,Europe
Azerbaijan,Manat,Baku,AZN,Asia
Bahamas,Dollar,Nassau,BSD,North America
Bahrain,Dinar,Manama,BHD,Asia
Bangladesh,Taka,Dhaka,BDT,Asia
Barbados,Dollar,Bridgetown,BBD,North America
Belarus,Ruble,Minsk,BYN,Europe
Belgium,Euro,Brussels,EUR,Europe
Belize,Dollar,Belmopan,BZD,North America
Benin,Franc,Porto-Novo,XOF,Africa
Bhutan,Ngultrum,Thimphu,BTN,Asia
Bolivia,Boliviano,Sucre,BOB,South America
Bosnia and Herzegovina,Mark,Sarajevo,BAM,Europe
Botswana,Pula,Gaborone,BWP,Africa
Brazil,Real,Brasilia,BRL,South America
Brunei,Dollar,Bandar Seri Begawan,BND,Asia
Bulgaria,Lev,Sofia,BGN,Europe
Burkina Faso,Franc,Ouagadougou,XOF,Africa
Burundi,Franc,Bujumbura,BIF,Africa
Cambodia,Riel,Phnom Penh,KHR,Asia
Cameroon,Franc,Yaounde,XAF,Africa
Canada,Dollar,Ottawa,CAD,North America
Cape Verde,Escudo,Praia,CVE,Africa
CAR,Franc,Bangui,XAF,Africa
Chad,Franc,N'Djamena,XAF,Africa
Chile,Peso,Santiago,CLP,South America
China,Yuan,Beijing,CNY,Asia
Colombia,Peso,BogotÃ¡,COP,South America
Comoros,Franc,Moroni,KMF,Africa
Congo,Franc,Brazzaville,XAF,Africa
Costa Rica,Colon,San Jose,CRC,North America
Cote d'Ivoire,Franc,Yamoussoukro,XOF,Africa
Croatia,Kuna,Zagreb,HRK,Europe
Cuba,Peso,Havana,CUP,North America
Cyprus,Euro,Nicosia,EUR,Europe
Czechia,Koruna,Prague,CZK,Europe
Dem Rep Congo,Franc,Kinshasa,CDF,Africa
Denmark,Krone,Copenhagen,DKK,Europe
Djibouti,Franc,Djibouti,DJF,Africa
Dominica,Dollar,Roseau,XCD,North America
Dominican Republic,Peso,Santo Domingo,DOP,North America
East Timor,Dollar,Dili,USD,Asia
Ecuador,Dollar,Quito,USD,South America
Egypt,Pound,Cairo,EGP,Africa
El Salvador,Dollar,San Salvador,USD,North America
Equatorial Guinea,Franc,Malabo,XAF,Africa
Eritrea,Nakfa,Asmara,ERN,Africa
Estonia,Euro,Tallinn,EUR,Europe
Eswatini,Lilangeni,Mbabane,SZL,Africa
Ethiopia,Birr,Addis Ababa,ETB,Africa
Fiji,Dollar,Suva,FJD,Oceania
Finland,Euro,Helsinki,EUR,Europe
France,Euro,Paris,EUR,Europe
Gabon,Franc,Libreville,XAF,Africa
Gambia,Dalasi,Banjul,GMD,Africa
Georgia,Lari,Tbilisi,GEL,Asia
Germany,Euro,Berlin,EUR,Europe
Ghana,Cedi,Accra,GHS,Africa
Greece,Euro,Athens,EUR,Europe
Grenada,Dollar,St. George's,XCD,North America
Guatemala,Quetzal,Guatemala City,GTQ,North America
Guinea,Franc,Conakry,GNF,Africa
Guinea Bissau,Franc,Bissau,XOF,Africa
Guyana,Dollar,Georgetown,GYD,South America
Haiti,Gourde,Port-au-Prince,HTG,North America
Honduras,Lempira,Tegucigalpa,HNL,North America
Hungary,Forint,Budapest,HUF,Europe
Iceland,Krona,Reykjavik,ISK,Europe
India,Rupee,New Delhi,INR,Asia
Indonesia,Rupiah,Jakarta,IDR,Asia
Iran,Rial,Tehran,IRR,Asia
Iraq,Dinar,Baghdad,IQD,Asia
Ireland,Euro,Dublin,EUR,Europe
Israel,Shekel,Jerusalem,ILS,Asia
Italy,Euro,Rome,EUR,Europe
Jamaica,Dollar,Kingston,JMD,North America
Japan,Yen,Tokyo,JPY,Asia
Jordan,Dinar,Amman,JOD,Asia
Kazakhstan,Tenge,Astana,KZT,Asia
Kenya,Shilling,Nairobi,KES,Africa
Kiribati,Dollar,Tarawa,AUD,Oceania
Kosovo,Euro,Pristina,EUR,Europe
Kuwait,Dinar,Kuwait City,KWD,Asia
Kyrgyzstan,Som,Bishkek,KGS,Asia
Laos,Kip,Vientiane,LAK,Asia
Latvia,Euro,Riga,EUR,Europe
Lebanon,Pound,Beirut,LBP,Asia
Lesotho,Loti,Maseru,LSL,Africa
Liberia,Dollar,Monrovia,LRD,Africa
Libya,Dinar,Tripolis,LYD,Africa
Liechtenstein,Franc,Vaduz,CHF,Europe
Lithuania,Euro,Vilnius,EUR,Europe
Luxembourg,Euro,Luxembourg,EUR,Europe
Macedonia,Denar,Skopje,MKD,Europe
Madagascar,Ariary,Antananarivo,MGA,Africa
Malawi,Kwache,Lilongwe,MWK,Africa
Malaysia,Ringgit,Kuala Lumpur,MYR,Asia
Maldives,Rufiyaa,Male,MVR,Asia
Mali,Franc,Bamako,XOF,Africa
Malta,Euro,Valletta,EUR,Europe
Marshall Islands,Dollar,Majuro,USD,Oceania
Mauritania,Ouguiya,Nouakchott,MRO,Africa
Mauritius,Rupee,Port Louis,MUR,Africa
Mexico,Peso,Ciudad de MÃ©xico,MXN,North America
Micronesia,Dollar,Palikir,USD,Oceania
Moldova,Leu,Chisinau,MDL,Europe
Monaco,Euro,Monaco,EUR,Europe
Mongolia,Togrog,Ulan Bator,MNT,Asia
Montenegro,Euro,Podgorica,EUR,Europe
Morocco,Dirham,Rabat,MAD,Africa
Mozambique,Metical,Maputo,MZN,Africa
Myanmar,Kyat,Nay Pyi Taw,MMK,Asia
Namibia,Dollar,Windhoek,NAD,Africa
Nauru,Dollar,Yaren,AUD,Oceania
Nepal,Rupee,Kathmandu,NPR,Asia
Netherlands,Euro,Amsterdam,EUR,Europe
New Zealand,Dollar,Wellington,NZD,Oceania
Nicaragua,Cordoba,Managua,NIO,North America
Niger,Franc,Niamey,XOF,Africa
Nigeria,Naira,Abuja,NGN,Africa
North Korea,Won,Pyongyang,KPW,Asia
Norway,Krone,Oslo,NOK,Europe
Oman,Rial,Muscat,OMR,Asia
Pakistan,Rupee,Islamabad,PKR,Asia
Palau,Dollar,Melekeok,USD,Oceania
Palestine,Shekel,East Jerusalem,ILS,Asia
Panama,Balboa,Panama City,PAB,North America
Papua New Guinea,Kina,Port Moresby,PGK,Oceania
Paraguay,Guarani,Asuncion,PYG,South America
Peru,Sol,Lima,PEN,South America
Philippines,Philippine peso,Manila,PHP,Asia
Poland,Zloty,Warsaw,PLN,Europe
Portugal,Euro,Lisbon,EUR,Europe
Qatar,Riyal,Doha,QAR,Asia
Romania,Leu,Bucharest,RON,Europe
Russia,Ruble,Moscow,RUB,Europe
Rwanda,Franc,Kigali,RWF,Africa
Saint Kitts and Nevis,Dollar,Basseterre,XCD,North America
Saint Lucia,Dollar,Castries,XCD,North America
Saint Vincent and the Grenadines,Dollar,Kingstown,XCD,North America
Samoa,Tala,Apia,WST,Oceania
San Marino,Euro,San Marino,EUR,Europe
Sao Tome and Principe,Dobra,Sao Tome,STD,Africa
Saudi Arabia,Riyal,Riyadh,SAR,Asia
Senegal,Franc,Dakar,XOF,Africa
Serbia,Dinar,Belgrade,RSD,Europe
Seychelles,Rupee,Victoria,SCR,Africa
Sierra Leone,Leone,Freetown,SLL,Africa
Singapore,Dollar,Singapur,SGD,Asia
Slovakia,Euro,Bratislava,EUR,Europe
Slovenia,Euro,Ljubljana,EUR,Europe
Solomon Islands,Dollar,Honiara,SBD,Oceania
Somalia,Shilling,Mogadishu,SOS,Africa
South Africa,Rand,Pretoria,ZAR,Africa
South Korea,Won,Seoul,KRW,Asia
South Sudan,Pound,Juba,SSP,Africa
Spain,Euro,Madrid,EUR,Europe
Sri Lanka,Rupee,Colombo,LKR,Asia
Sudan,Pound,Khartoum,SDG,Africa
Suriname,Dollar,Paramaribo,SRD,South America
Sweden,Krona,Stockholm,SEK,Europe
Switzerland,Franc,Bern,CHF,Europe
Syria,Pound,Damascus,SYP,Asia
Taiwan,Dollar,Taipei,TWD,Asia
Tajikistan,Somoni,Dushanbe,TJS,Asia
Tanzania,Shilling,Dodoma,TZS,Africa
Thailand,Baht,Bangkok,THB,Asia
Togo,Franc,Lome,XOF,Africa
Tonga,Patanga,Nuku'alofa,TOP,Oceania
Trinidad and Tobago,Dollar,Port of Spain,TTD,North America
Tunisia,Dinar,Tunis,TND,Africa
Turkey,Lira,Ankara,TRY,Asia
Turkmenistan,Manat,Ashgabat,TMT,Asia
Tuvalu,Dollar,Funafuti,AUD,Oceania
Uganda,Shilling,Kampala,UGX,Africa
UK,Pound,London,GBP,Europe
Ukraine,Hryvnia,Kiev,UAH,Europe
United Arab Emirates,Dirham,Abu Dhabi,AED,Asia
Uruguay,Peso,Montevideo,UYU,South America
US,Dollar,Washington,USD,North America
Uzbekistan,Somoni,Tashkent,UZS,Asia
Vanuatu,Vatu,Port Vila,VUV,Oceania
Vatican City,Euro,Vatican City,EUR,Europe
Venezuela,Bolivar,Caracas,VEF,South America
Vietnam,Dong,Hanoi,VND,Asia
Yemen,Rial,Sanaa,YER,Asia
Zambia,Kwacha,Lusaka,ZMW,Africa
Zimbabwe,Dollar,Harare,ZWL,Africa